concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason	
2000000197	2000000221	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000222	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000223	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000224	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000225	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000226	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000227	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000228	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000229	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000230	Subsumes	1970-01-01	2099-12-31		
2000000197	2000000231	Subsumes	1970-01-01	2099-12-31		
2000000233	2000000232	Is a	1970-01-01	2099-12-31		
2000000234	2000000232	Is a	1970-01-01	2099-12-31		
2000000235	2000000232	Is a	1970-01-01	2099-12-31		
2000000236	2000000232	Is a	1970-01-01	2099-12-31		
2000000237	2000000232	Is a	1970-01-01	2099-12-31		
2000000238	2000000232	Is a	1970-01-01	2099-12-31		
2000000239	2000000232	Is a	1970-01-01	2099-12-31		
2000000240	2000000232	Is a	1970-01-01	2099-12-31		
2000000241	2000000232	Is a	1970-01-01	2099-12-31		
2000000242	2000000232	Is a	1970-01-01	2099-12-31		
2000000243	2000000232	Is a	1970-01-01	2099-12-31		
2000000244	2000000232	Is a	1970-01-01	2099-12-31		
2000000245	2000000232	Is a	1970-01-01	2099-12-31		
2000000246	2000000232	Is a	1970-01-01	2099-12-31		
2000000247	2000000232	Is a	1970-01-01	2099-12-31		
2000000248	2000000232	Is a	1970-01-01	2099-12-31		
2000000249	2000000232	Is a	1970-01-01	2099-12-31		
2000000250	2000000232	Is a	1970-01-01	2099-12-31		
2000000251	2000000232	Is a	1970-01-01	2099-12-31		
2000000252	2000000232	Is a	1970-01-01	2099-12-31		
2000000253	2000000232	Is a	1970-01-01	2099-12-31		
2000000254	2000000232	Is a	1970-01-01	2099-12-31		
2000000255	2000000232	Is a	1970-01-01	2099-12-31		
2000000256	2000000232	Is a	1970-01-01	2099-12-31		
2000000232	2000000233	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000234	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000235	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000236	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000237	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000238	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000239	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000240	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000241	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000242	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000243	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000244	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000245	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000246	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000247	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000248	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000249	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000250	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000251	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000252	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000253	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000254	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000255	Subsumes	1970-01-01	2099-12-31		
2000000232	2000000256	Subsumes	1970-01-01	2099-12-31		
2000000258	2000000257	Is a	1970-01-01	2099-12-31		
2000000259	2000000257	Is a	1970-01-01	2099-12-31		
